103.13,96.96,0.02
MAX,0.06838042,22,3.426809202733485
ROY,0.04980101,13,1.4747451708428247
ESSAY,0.019945387,17,0.7723726173120727
IDEAS,0.01884031,3,0.12874927107061504
CLAIMS,0.01860849,6,0.25433015945330295
FALL,0.014462218,8,0.2635483917995444
ESSAYS,0.013899699,6,0.1899731070615034
CHARACTERS,0.010455195,8,0.1905274715261959
NORMA,0.009778047,10,0.22273455580865603
EVIDENCE,0.009351659,5,0.10651092255125284
LIFE,0.0093031265,9,0.1907246890660592
WORLD,0.008823997,12,0.24120265148063783
FANTASY WORLDS,0.007604704,1,0.017322788154897493
SHOTS,0.0062297257,11,0.1560979104783599
OPPORTUNITY,0.006119837,2,0.027880806378132117
HOLLYWOOD,0.005757111,7,0.09179903644646924
SOMETHING,0.005225666,8,0.09522853758542141
COMMUNITY,0.0049366555,3,0.03373568678815489
STORY,0.0048917676,11,0.1225727644646925
LIMITATIONS,0.00412843,1,0.009404168564920271
MEANING,0.00410179,6,0.0560609111617312
SUNSET BOULEVARD,0.0037410613,1,0.00852177972665148
ANDREW SCAHILL,0.0037099002,1,0.008450797722095671
_____TYLER BLANTON_____,0.0036941122,1,0.00841483416856492
MAX.,0.0036349872,1,0.008280153075170844
FILMS,0.003561233,4,0.03244859225512529
FILM,0.0035520005,21,0.16991346355353076
EVERYTHING,0.0033938503,1,0.007730866287015944
DETAIL,0.0033466567,2,0.01524672756264237
WAY,0.0033415442,12,0.09134061594533029
STORYTELLING,0.0032596886,2,0.014850517539863326
THESIS STATEMENT,0.0032559752,2,0.014833599999999999
WORDS,0.003255029,6,0.04448786788154898
INDUSTRY,0.0032521493,1,0.0074080849658314345
CHARACTER,0.0032143265,14,0.10250699544419135
CLIPS,0.00317647,1,0.007235694760820045
THESIS,0.002918063,9,0.05982361503416856
EXAM,0.002851846,4,0.02598492938496583
WORD,0.0026592507,8,0.048460149430523916
CONTROL,0.0026474886,2,0.012061451480637813
ESCAPISM,0.0026432192,4,0.024084001822323464
BOTH,0.0026432192,4,0.024084001822323464
TERMINOLOGY,0.002596874,3,0.01774629157175399
SCENE,0.0025693218,12,0.07023203097949887
CONTRAST,0.0025473454,1,0.005802609111617312
CONTEXT,0.002546079,1,0.0057997243735763105
SHOT,0.0025333373,17,0.0981019
VIEWERS,0.0025015967,3,0.01709519384965831
FILM TERMINOLOGY,0.0024514752,1,0.005584225968109339
DISCUSSION,0.0024389043,1,0.005555590660592255
READINGS,0.0024389043,1,0.005555590660592255
POINTS,0.002437642,6,0.03331629157175398
EVERYONE,0.0024308055,1,0.005537142369020502
EXAM ONE,0.0023591642,1,0.005373950341685649
FOLK,0.0023187478,4,0.021127542596810937
MOTIFS,0.0023157052,1,0.0052749548974943055
MOTIF,0.0023145971,3,0.015817292255125282
FANTASY,0.002311507,4,0.02106156719817768
LIST,0.0023078413,6,0.03154225011389521
AMOUNT,0.002296578,2,0.01046276993166287
FOCUS,0.0022649735,8,0.04127514350797267
CLIP,0.0022633479,12,0.06186827972665148
SPACES,0.0022134467,2,0.010084039635535308
SPACE,0.0021908025,4,0.019961753986332573
THEMES,0.002176657,1,0.004958216400911162
OTHERS,0.0021724065,4,0.019794136674259683
DIRECTIONS,0.0021603089,1,0.004920976993166287
INTRODUCTION TO FILM,0.0021543084,1,0.004907308428246013
READER,0.002149611,1,0.004896608200455581
FAME,0.002107763,8,0.03841025968109339
STRUCTURE,0.0021052936,2,0.009591314806378133
FOLKS,0.002094084,3,0.014310369020501139
SIGNS,0.002087639,1,0.004755441913439636
PLACE,0.0020874497,5,0.02377505353075171
UNIVERSITY OF COLORDO DENVER,0.0020749713,1,0.0047265861047836
THESIS TYPES,0.0020419064,1,0.00465126742596811
THESIS TYPE,0.0020314343,1,0.004627412984054669
ANOTHER,0.0020249705,3,0.013838067198177675
ARGUMENT,0.0020190596,3,0.013797673804100227
FAILURE,0.0020183176,3,0.01379260318906606
PLAGIARISM,0.0020183176,3,0.01379260318906606
ATTRIBUTION,0.0020183176,3,0.01379260318906606
ANSWERS,0.0020182196,2,0.009194622323462414
WAR BOYS,0.0020047282,5,0.02283289521640091
CHILDREN,0.0019973216,5,0.022748537585421415
USE,0.0019770283,15,0.06755221981776766
COMBINATION,0.0019171793,3,0.013101453075170843
TEXTBOOK CHAPTERS,0.0019160097,2,0.008728973576309794
CONSTRUCTION,0.0019138966,2,0.008719346697038723
VILLAINESS,0.001907686,1,0.004345526195899772
COURAGE,0.001884502,2,0.008585430523917996
WOMAN,0.001884456,2,0.008585220956719817
QUESTIONS,0.0018703522,1,0.004260483371298406
WORK,0.0018650668,3,0.012745331207289294
TITLE,0.0018588715,1,0.004234331435079727
FILM TITLES,0.0018525582,1,0.004219950341685649
NATURE,0.0018465107,2,0.008412349430523918
AUDIENCES,0.001840872,2,0.008386660592255124
CINEMA,0.001840053,3,0.012574394077448746
