35.3,283.28,0.01
KEFFIYEH BROOKLYN XOXO,0.03149195,1,0.04121982984293193
YOLO VHS,0.023484083,1,0.03073832853403141
PBR&B PORTLAND,0.015948191,1,0.020874595549738223
ICELAND,0.012532469,12,0.19684506282722514
DIY,0.012089655,22,0.34813142670157066
VENMO FRANZEN,0.011899335,1,0.015575045811518326
YOLO,0.010725341,22,0.30884489790575914
TRADE,0.010565323,24,0.33189496335078533
BROOKLYN,0.010409156,9,0.12262094764397906
CHIA YOLO KICKSTARTER,0.009621118,1,0.012593086387434553
YOLO IPHONE,0.008824176,1,0.011549968586387434
SRIRACHA OFFAL SWAG BITTERS JEAN SHORTS,0.004824024,1,0.006314167539267015
KOMBUCHA,0.003915831,3,0.015376299738219894
MARFA MUMBLECORE,0.0038918755,1,0.005094077879581152
PORTLAND,0.0036050032,14,0.06606026806282722
TAIYAKI,0.003434002,18,0.08090580628272251
SHOREDITCH,0.003310154,11,0.04765928534031414
MESSENGER BAG,0.0026979712,22,0.07769027015706806
GASTROPUB HASHTAG WAYFARERS TOTE BAG,0.002675055,1,0.0035013808900523557
WILLIAMSBURG,0.0026258687,10,0.03437000916230367
ART PARTY,0.002616092,17,0.058211471204188486
BEARD,0.002602284,17,0.057904225130890045
ROOF PARTY,0.0025880572,19,0.06436267905759163
GASTROPUB NARWHAL TRUST FUND HEXAGON CHARTREUSE,0.0025400035,1,0.0033246119109947643
HOT CHICKEN,0.00253212,14,0.04640010471204189
CHARCOAL,0.0025252153,19,0.06279985693717277
BANH MI,0.00247893,17,0.05515943717277486
CHICHARRONES,0.0024768943,13,0.04214610719895288
MAN BUN,0.00243058,27,0.0858974607329843
FOOD TRUCK,0.0023422572,26,0.07971032356020942
HELL,0.0023320662,33,0.10073060811518324
MUMBLECORE,0.0022963348,15,0.04508510732984293
DOLLAR TOAST JEAN SHORTS,0.0022948398,1,0.0030037170157068064
PUG UNICORN DIY HELL,0.0022796826,1,0.0029838777486911
EDISON BULB VAPE HELL,0.0022634128,1,0.00296258219895288
UMAMI FASHION AXE PHOTO BOOTH JIANBING CRAFT BEER,0.0022597266,1,0.0029577573298429317
KOGI,0.002258497,2,0.0059122958115183245
LO-FI VICE,0.0022484774,1,0.0029430332460732987
TUMBLR,0.0022423416,20,0.05870004188481675
CRAFT BEER,0.002238628,1,0.0029301413612565445
FIXIE,0.0022308296,13,0.03795914240837696
JEAN SHORTS,0.0022281,17,0.04957814136125653
KEYTAR,0.0022017632,18,0.051874002094240826
MUMBLECORE DIY,0.002181535,1,0.002855412303664921
WHATEVER,0.0021779523,21,0.059865181020942404
SYNTH,0.002143355,22,0.06171964659685864
PHOTO BOOTH,0.0021419667,21,0.05887604803664922
KICKSTARTER,0.0021264553,19,0.05288305065445026
WAYFARERS,0.0021264553,18,0.050099732198952876
CHICKEN WAYFARERS,0.002122963,1,0.002778747382198953
TRADE CLOUD BREAD PINTEREST,0.0021185272,1,0.0027729413612565443
YR MIXTAPE,0.0021093471,1,0.0027609255235602095
CHARTREUSE WAYFARERS,0.0021077793,1,0.0027588734293193715
POLAROID,0.0021039844,18,0.04957031308900524
MAN BRAID EDISON BULB,0.0020900718,1,0.0027356960732984295
BULB,0.002085209,19,0.05185729188481676
VINEGAR,0.0020840343,18,0.04910028455497382
POKE FASHION AXE AFFOGATO,0.0020776184,1,0.002719395811518324
EDISON BULB,0.00207634,2,0.00543544502617801
JUICE INTELLIGENTSIA BITTERS SKATEBOARD SALVIA,0.0020746945,1,0.0027155687172774868
FINGERSTACHE MICRODOSING,0.002073962,1,0.0027146099476439787
SWAG EDISON BULB,0.0020723152,1,0.00271245445026178
WAISTCOAT,0.002071617,15,0.04067310863874345
AFFOGATO,0.0020712742,20,0.05422183769633508
SEMIOTICS,0.0020679713,18,0.04872183691099477
TILDE SUCCULENTS OFFAL,0.0020658344,1,0.002703971727748691
BATCH,0.0020633354,18,0.04861261413612566
SEMIOTICS LISTICLE MIXTAPE,0.0020619626,1,0.0026989039267015704
HOODIE BICYCLE RIGHTS VICE MEGGINGS PORTLAND,0.002060168,1,0.0026965549738219895
UMAMI,0.0020521444,15,0.04029079319371728
INTELLIGENTSIA FANNY PACK POKE HAMMOCK CRAFT BEER TAIYAKI KEYTAR LEGGINGS FASHION AXE SHAMAN CLOUD BREAD,0.002051653,1,0.0026854096858638745
LA CROIX PLAID,0.0020426654,1,0.002673645811518325
QUINOA TRUST FUND KEFFIYEH SUBWAY TILE WAISTCOAT,0.0020407587,1,0.002671150130890052
STUMPTOWN MIXTAPE,0.0020391026,1,0.002668982460732984
THUNDERCATS,0.0020327973,12,0.03192875340314136
CLICHE,0.0020324958,15,0.0399050222513089
FARM-TO-TABLE,0.002030928,19,0.05050737172774869
FAM,0.0020308818,19,0.0505062227748691
NEUTRA BIODIESEL TRUST FUND CLICHE,0.002025311,1,0.0026509306282722516
BIRD,0.002022824,16,0.042362806282722515
MARFA SUCCULENTS MUSTACHE SELVAGE,0.0020182894,1,0.002641740052356021
DOLLAR TOAST,0.0020144635,16,0.042187717277486915
SUCCULENTS,0.0020087303,16,0.0420676502617801
SELFIES,0.0020025964,3,0.007863598429319371
V DISTILLERY STREET ART BANH,0.0019956531,1,0.002612111387434555
DRINKING VINEGAR SKATEBOARD LO-FI,0.0019885988,1,0.002602878010471204
MEGGINGS,0.0019688471,20,0.0515405
FASHION AXE,0.0019450365,14,0.03564203010471204
CARRY TYPEWRITER,0.0019450365,1,0.0025458592931937173
WOLF FANNY PACK VAPE,0.0019440977,1,0.0025446304973821988
HEIRLOOM TRUST FUND,0.0019414861,1,0.0025412121727748692
FORAGE,0.0019326548,16,0.04047444607329843
CHILLWAVE,0.0019321844,18,0.04552266910994764
TYPEWRITER,0.0019299807,15,0.03789229123036649
MICRODOSING PUG,0.001922516,1,0.0025163821989528795
GODARD PITCHFORK,0.0019129444,1,0.0025038539267015704
STREET ART CHARTREUSE LUMBERSEXUAL MUSTACHE,0.0019093662,1,0.0024991704188481677
BUSHWICK,0.001904353,17,0.04237434685863874
SWAG SRIRACHA,0.0019017948,1,0.0024892602094240836
DENIM,0.0018961,14,0.034745287958115184
CRAY,0.0018942812,11,0.027273682198952882
MAN BRAID,0.001869969,13,0.031818844240837696
HEALTH GOTH,0.0018655761,13,0.031744095942408374
ROOF PARTY LOCAVORE,0.0018618975,1,0.002437038612565445
BOTTLE,0.0018615017,12,0.029238246596858634
LOCAVORE,0.0018546899,14,0.03398646413612565
YUCCIE SELVAGE CRAFT BEER TACOS,0.0018523476,1,0.002424538743455497
MASTER CLEANSE,0.0018346878,15,0.036021357329842935
CLOUD BREAD MAN BUN KINFOLK,0.0018249842,1,0.00238872277486911
CARDIGAN,0.0018208554,11,0.02621650445026178
PBR&B KINFOLK,0.0018174407,1,0.0023788490837696333
TUMERIC,0.0018112158,16,0.037931220942408375
BLOG TILDE,0.0018094411,1,0.002368378403141361
SNACKWAVE,0.0018049635,16,0.03780028272251309
TAXIDERMY RACLETTE CLICHE FREEGAN,0.0017990023,1,0.002354715052356021
NARWHAL,0.0017799475,15,0.034946613219895284
LEGGINGS RAMPS,0.0017699671,1,0.0023167108638743454
TILDE,0.0017692529,15,0.03473664070680628
FANNY PACK AF,0.001765999,1,0.0023115170157068064
AIR PLANT,0.0017606288,12,0.0276538554973822
FREEGAN CHAMBRAY CRONUT YR BITTERS,0.0017593092,1,0.002302760732984293
PALEO,0.001749592,17,0.038930712041884814
ART PARTY RAW DENIM HAMMOCK YR,0.0017408807,1,0.002278639659685864
KOGI HAMMOCK,0.0017391662,1,0.00227639554973822
MUMBLECORE HUMBLEBRAG,0.0017334321,1,0.0022688901832460732
BEARD YR,0.0017206592,1,0.0022521717277486915
DIY FOOD TRUCK QUINOA,0.0017180904,1,0.00224880942408377
BICYCLE RIGHTS HAMMOCK,0.0017101461,1,0.0022384111256544504
BUSHWICK FLANNEL,0.0017101461,1,0.0022384111256544504
DREAMCATCHER,0.0016647822,8,0.01743227434554974
DOLLAR TOAST CELIAC,0.0016309706,1,0.002134778272251309
CLOUD BREAD AFFOGATO VINYL SHAMAN,0.0016178932,1,0.0021176612565445025
LUMBERSEXUAL STREET ART VAPORWARE,0.0016123728,1,0.0021104356020942407
LO-FI CELIAC,0.0016080699,1,0.0021048035340314134
INTELLIGENTSIA BEARD AF KINFOLK FLEXITARIAN,0.0015604862,1,0.002042521204188482
TRADE POP-UP,0.001554539,1,0.0020347369109947645
STUMPTOWN,0.0015521455,10,0.02031604057591623
GENTRIFY,0.0015193013,20,0.039772285340314135
SEITAN BANJO MIGAS,0.0015010653,1,0.001964745157068063
MASTER CLEANSE MLKSHK JIANBING GODARD,0.001355579,1,0.001774318062827225
BRUNCH RETRO,0.001332672,1,0.0017443350785340313
HEIRLOOM,0.0012874163,14,0.023591398167539267
LOREM IPSUM DOLOR,0.0012706374,1,0.0016631379581151832
LO-FI,0.0011791873,2,0.0030868777486910996
HEXAGON VAPE,0.0011722728,1,0.001534388481675393
CHURCH-KEY,0.001142046,14,0.0209275445026178
XOXO SALVIA,0.001130618,1,0.0014798664921465967
YOLO LYFT CHILLWAVE,0.0010777657,1,0.0014106880890052357
CRUCIFIX,0.001075898,1,0.0014082434554973822
TBH,0.0010753573,4,0.005630142931937173
FLEXITARIAN,0.0010379067,3,0.0040755498691099476
LOMO,0.0010125708,2,0.0026507089005235606
COFFEE MAN,0.0010071193,1,0.0013182189790575916
SRIRACHA SARTORIAL,0.0009944922,1,0.0013016913612565446
TOTE BAG,0.0009830203,13,0.01672678520942408
DOLLAR TOAST ART PARTY,0.00096510747,1,0.001263229672774869
ENAMEL PIN POKE ROOF PARTY,0.0009638883,1,0.0012616339005235603
MICRODOSING FASHION AXE CHARTREUSE,0.00094643654,1,0.001238791282722513
COFFEE WAYFARERS,0.0009282699,1,0.0012150129581151832
TAXIDERMY CHICHARRONES,0.00092332787,1,0.001208544332460733
CHICKEN,0.0009221906,17,0.020519947905759162
CHARCOAL MIGAS,0.00088710926,1,0.00116113777486911
WOLF,0.0008777706,29,0.03331851753926702
FOOD TRUCK BIODIESEL WOLF,0.0008749617,1,0.001145237827225131
POK POK,0.00087452197,19,0.021748583023560208
IRONY,0.000870948,24,0.027359623036649214
TAXIDERMY LYFT IRONY,0.0008707582,1,0.0011397358638743455
LEVEL,0.0008653554,16,0.01812262617801047
CHILLWAVE CHIA GODARD,0.00085528125,1,0.0011194780759162305
SKATEBOARD PORK BELLY HOODIE BIODIESEL,0.00085130247,1,0.0011142702486910997
BIODIESEL,0.0008499795,23,0.025588388089005234
WOLF MOON HELL,0.00084457925,1,0.001105470222513089
SUBWAY TILE,0.00083972927,22,0.024180685785340314
MUSTACHE,0.0008367667,2,0.0021904887434554972
LA CROIX CLICHE VICE,0.00083457225,1,0.0010923720549738218
ENNUI JEAN SHORTS,0.00083393656,1,0.00109154
FORAGE SQUID,0.0008278043,1,0.0010835134816753926
SQUID,0.0008247567,22,0.02374953848167539
THUNDERCATS MARFA,0.00080700294,1,0.0010562865706806282
TOTE BAG PHOTO BOOTH,0.0008052194,1,0.0010539520942408375
ARTISAN COLORING BOOK DREAMCATCHER KITSCH PHOTO BOOTH,0.00080459967,1,0.0010531409293193716
UNICORN HAMMOCK SYNTH,0.00080209685,1,0.001049864986910995
WAISTCOAT TRUFFAUT COLORING BOOK,0.00080059224,1,0.001047895602094241
SUBWAY TILE JEAN SHORTS,0.0007947511,1,0.0010402501308900524
DIY FANNY PACK,0.00079448597,1,0.0010399031020942406
MAN BRAID HELVETICA QUINOA FARM,0.0007943097,1,0.001039672382198953
GODARD,0.00079172075,20,0.020725674083769633
SYNTH GOCHUJANG LOCAVORE FANNY PACK,0.0007901245,1,0.0010341943717277486
MICRODOSING,0.0007811745,23,0.023517033376963353
GASTROPUB HOODIE,0.00078056374,1,0.0010216802879581153
VENMO SELVAGE PINTEREST,0.00077893696,1,0.001019550994764398
HOODIE,0.0007783337,18,0.018337704973821988
UNICORN MEDITATION MICRODOSING,0.0007781028,1,0.0010184591623036649
PORK BELLY AFFOGATO,0.0007777666,1,0.0010180191099476439
TAXIDERMY LEGGINGS,0.00077765714,1,0.0010178758376963352
MAN BRAID LEGGINGS,0.0007769245,1,0.0010169168848167538
COFFEE,0.000769962,18,0.018140465968586386
HEIRLOOM BANJO,0.00076925964,1,0.0010068843455497383
BATCH TYPEWRITER INTELLIGENTSIA,0.0007679957,1,0.0010052299738219895
ENNUI,0.0007674103,10,0.010044637434554974
LOCAVORE KALE CHIPS,0.0007658882,1,0.0010024714659685864
SLOW-CARB,0.000765771,16,0.016037089005235605
JUICE,0.0007654281,18,0.018033646335078535
KALE CHIPS,0.0007647781,18,0.01801833219895288
MEDITATION,0.00076467404,17,0.017014998272251308
MIXTAPE,0.0007644693,20,0.020012285340314136
DRINKING VINEGAR,0.0007639765,15,0.014999538612565448
PLAID,0.0007558925,16,0.01583020942408377
OFFAL,0.0007555715,21,0.020768326570680624
PORK BELLY,0.000754529,16,0.015801654450261778
HELVETICA MICRODOSING CARDIGAN JEAN SHORTS SELFIES,0.0007542517,1,0.000987240445026178
COPPER MUG,0.0007529784,15,0.014783607329842931
JEAN SHORTS BIODIESEL CLOUD BREAD,0.0007508648,1,0.000982807329842932
DRINKING VINEGAR SUBWAY TILE,0.0007507709,1,0.0009826844240837696
NEUTRA HUMBLEBRAG,0.0007427102,1,0.0009721337696335078
KEFFIYEH SELVAGE,0.00074017985,1,0.0009688217931937172
BEARD MICRODOSING POP,0.0007400524,1,0.0009686549738219895
LO-FI GASTROPUB,0.0007379211,1,0.0009658653141361257
VICE PBR&B CRONUT,0.0007318172,1,0.0009578759162303666
KEYTAR MLKSHK,0.0007285693,1,0.0009536247382198953
FOOD TRUCK LOMO FASHION AXE,0.00072760764,1,0.0009523660209424082
IRONY FORAGE VAPORWARE,0.0007271634,1,0.0009517845549738219
KEFFIYEH,0.00072335196,18,0.017042323664921467
ENNUI ENAMEL PIN KEFFIYEH,0.00072325865,1,0.0009466736256544502
TRUST FUND,0.00072325865,15,0.014200104384816753
LYFT,0.0007122911,17,0.015849409293193718
DISTILLERY,0.0007085576,13,0.01205660837696335
CHARCOAL MIXTAPE BIODIESEL,0.0007064248,1,0.0009246397905759163
SCENESTER,0.00069775723,14,0.012786127251308899
ARTISAN,0.00069686805,16,0.014594095287958117
FRANZEN,0.00069672853,13,0.011855328390052357
IRONY FIXIE,0.00069509714,1,0.0009098130104712042
PALO SANTO,0.0006948504,2,0.001818980104712042
WOLF RACLETTE MICRODOSING LOCAVORE,0.00069433375,1,0.0009088138089005236
KNAUSGAARD,0.0006940266,16,0.014534588481675393
MUMBLECORE NORMCORE MEH PINTEREST,0.00069369446,1,0.0009079770418848168
TACOS,0.00069325825,2,0.001814812172774869
TRUST FUND MUMBLECORE,0.0006928988,1,0.0009069356020942408
MAN,0.00068236695,49,0.04376437244764398
DRINKING VINEGAR ENAMEL PIN KINFOLK,0.00068094966,1,0.0008912953664921466
DENIM LOMO NORMCORE,0.00067974103,1,0.000889713390052356
FLANNEL CRUCIFIX,0.0006789097,1,0.0008886252617801047
DREAMCATCHER TUMERIC,0.00067795074,1,0.0008873700785340314
CHILLWAVE SHOREDITCH HELVETICA,0.0006761555,1,0.0008850202879581152
COFFEE FREEGAN,0.0006634422,1,0.0008683798429319372
FOOD TRUCK BIODIESEL SALVIA,0.00066195417,1,0.0008664321596858639
GOCHUJANG LETTERPRESS,0.000661302,1,0.0008655785340314136
RACLETTE BANJO POUTINE TOTE BAG,0.0006610127,1,0.0008651998691099477
DRINKING VINEGAR UNICORN AF,0.00066099473,1,0.0008651763481675393
SUBWAY TILE KEYTAR FREEGAN,0.0006604133,1,0.0008644153141361256
8-BIT,0.0006599589,11,0.009502026047120419
BITTERS,0.0006593632,13,0.011219530890052357
SEITAN,0.0006592816,13,0.011218142408376965
ECHO PARK GENTRIFY,0.00065886014,1,0.0008623823821989529
VHS GOCHUJANG ART PARTY,0.0006479821,1,0.000848144109947644
COFFEE ROOF PARTY,0.0006475388,1,0.0008475638743455497
ECHO PARK,0.0006444564,9,0.00759176387434555
MESSENGER BAG BUTCHER,0.0006439896,1,0.0008429183246073298
SUBWAY TILE FOOD TRUCK BUTCHER,0.0006436569,1,0.0008424828534031413
CHILLWAVE WOLF TBH TOFU,0.00064264005,1,0.0008411518979057592
OFFAL FLANNEL,0.00064124644,1,0.0008393278010471204
SELVAGE BANJO CHIA CHARTREUSE,0.00064051995,1,0.0008383768979057591
STREET ART,0.0006354021,16,0.013306850261780105
KITSCH MEGGINGS LEGGINGS SWAG PLAID STREET ART,0.00063401426,1,0.0008298615968586387
PABST,0.0006250859,13,0.01063627840314136
ADAPTOGEN,0.0006246331,17,0.013898904057591624
WOLF MOON BRUNCH PABST,0.00062452396,1,0.0008174397382198954
KOGI PABST,0.0006227028,1,0.0008150560209424084
LISTICLE,0.0006219723,11,0.008955098560209426
SKATEBOARD CHICHARRONES,0.00061746436,1,0.0008081994240837697
TOFU MESSENGER BAG,0.0006062034,2,0.001586919895287958
CORNHOLE,0.00060440495,13,0.010284377421465969
SHAMAN,0.0006019635,9,0.007091193062827225
LA CROIX YUCCIE,0.00060120435,1,0.0007869166884816755
MICRODOSING TRUFFAUT HASHTAG ROOF PARTY,0.00059623783,1,0.0007804160078534032
SEMIOTICS ROOF PARTY,0.0005962052,1,0.0007803732984293193
VEXILLOLOGIST WOLF,0.0005935076,1,0.0007768424083769635
MAN BUN FOOD TRUCK,0.0005926928,1,0.0007757759162303665
TAXIDERMY HEALTH GOTH VAPORWARE VINYL TAIYAKI CHARTREUSE,0.00058670336,1,0.000767936335078534
CHARTREUSE,0.00058553705,16,0.012262556020942408
