keyword,frequency,salience
----------------
TYLER BLANTON,1,0.53875107
KEFFIYEH BROOKLYN XOXO,1,0.06443213
DENVER COLORADO,1,0.18154189
YOLO VHS,1,0.0189544
UNIVERSITY OF COLORADO DENVER,1,0.06410478
PBR&B PORTLAND,1,0.01848469
PURPOSE,1,0.042951927
ICELAND,13,0.016697133
BEN POPE,1,0.03730568
VHS FRANZEN,1,0.012491003
MOMENT,1,0.035187405
TUMBLR,25,0.010350229
PRODUCT,3,0.033529956
BROOKLYN,9,0.010253328
LINGUISTIC ANALYZER,1,0.020959891
YOLO IPHONE,1,0.008485363
PAUL BROWN,1,0.019194162
YOLO,22,0.008367178
MEDTRONIC,1,0.014294599
TRADE,32,0.0057567507
