36.31,275.43,0.03
KEFFIYEH BROOKLYN XOXO,0.19513538,8,1.5517724055666005
IPHONE NEUTRA,0.013481985,8,0.10721260437375744
YOLO VHS,0.010210525,8,0.08119701789264412
PBR&B PORTLAND,0.008631483,8,0.06864002385685886
TRADE,0.0044711595,273,1.2133464647117298
CHICKEN,0.004043054,182,0.7314471451292247
VHS FRANZEN,0.0033002477,8,0.026244514512922465
YOLO,0.0028406582,211,0.5958040558648111
PALO,0.002254135,193,0.4324533349900596
CHIA YOLO KICKSTARTER,0.0021910046,8,0.0174234958250497
BROOKLYN,0.0021148275,90,0.18919927932405564
LUMBERSEXUAL MARFA HUMBLEBRAG,0.0020526669,8,0.01632339483101392
WOLF MOON,0.0020320835,155,0.3130943762425447
V,0.0020022797,3799,7.561292823359841
ICELAND,0.0018623064,30,0.05553597614314115
SHOREDITCH,0.0017424751,114,0.19745741689860835
VHS TAIYAKI,0.0016361718,16,0.026022613121272364
TUMBLR,0.001625869,195,0.3151535337972167
STUMPTOWN KICKSTARTER,0.001608439,8,0.012790767395626242
MUMBLECORE CHILLWAVE,0.0015235443,7,0.010601202882703779
WILLIAMSBURG,0.0014839694,152,0.22421804055666003
BUSHWICK,0.0014766767,178,0.26128076799204775
DIY NEUTRA,0.0013656319,8,0.010859895825049702
CHIA GODARD,0.001236485,8,0.009832882703777336
BULB,0.0010518853,191,0.19971182137176935
KOMBUCHA,0.0010183335,56,0.05668655666003976
ART PARTY,0.000987992,188,0.18463468787276344
FAM,0.0009468614,190,0.17883068190854873
TAIYAKI,0.00091405935,194,0.17626989453280317
COLORING BOOK,0.0008975247,210,0.18735605069582506
JEAN SHORTS LO-FI,0.00087277417,8,0.006940550059642147
SUBWAY TILE,0.0008098372,206,0.16583147435387674
SEMIOTICS,0.00078849995,186,0.1457862730616302
BIRD,0.0007857647,230,0.1796479930417495
SWAG BITTERS JEAN SHORTS,0.0007719766,10,0.007673723658051691
PRISM,0.0007658176,26,0.01979250258449304
JUICE INTELLIGENTSIA BITTERS SKATEBOARD SALVIA,0.0007294991,10,0.007251482107355866
BUN GODARD,0.0007151431,10,0.007108778330019881
HAMMOCK,0.00068674894,37,0.02525816180914513
INTELLIGENTSIA,0.0006848723,177,0.12049940069582506
THUNDERCATS,0.0006848239,140,0.09530352485089463
BLOG INTELLIGENTSIA TACOS,0.00068102044,8,0.005415669502982108
YOLO LYFT CHILLWAVE,0.00064523827,8,0.00513111944333996
KINFOLK,0.0006373207,156,0.09882905487077537
HELVETICA TAIYAKI,0.0006328682,9,0.005661842743538767
ECHO PARK,0.00062929204,137,0.0856988165805169
YOLO CRONUT,0.0006244106,8,0.004965491848906561
KEYTAR,0.00062224397,55,0.034019302534791254
CHICHARRONES,0.0006158081,37,0.022649005666003974
WAISTCOAT,0.00061033637,40,0.024267847713717695
XOXO,0.00060566096,206,0.12402202560636184
SUBWAY TILE JEAN SHORTS,0.0005729935,9,0.0051261843936381704
PORTLAND,0.00057170744,135,0.07672018330019882
BEARD,0.00056908734,37,0.020930647693836978
PALO SANTO MUMBLECORE LA CROIX,0.0005617987,7,0.003909136083499006
GENTRIFY,0.0005612277,223,0.12440733310139165
PALO SANTO,0.0005517236,18,0.009871794035785288
EDISON,0.00054090325,16,0.008602834990059642
CLICHE,0.0005305371,36,0.01898542306163022
FANNY PACK,0.00052440126,30,0.015638208548707754
VEXILLOLOGIST HUMBLEBRAG,0.00051530177,7,0.0035855987972166995
PLAID,0.000506753,39,0.01964549403578529
KALE CHIPS,0.0005035506,191,0.09560453737574552
WAYFARERS,0.0005034869,227,0.11360986709741551
JEAN SHORTS,0.0005012784,41,0.020429835387673956
KOGI,0.00049340934,34,0.01667586238568589
MLKSHK,0.00048658287,34,0.01644514669980119
ADAPTOGEN,0.00048190102,24,0.011496644612326043
SRIRACHA,0.00047937012,16,0.007624176858846919
FINGERSTACHE,0.00047898715,34,0.01618843250497018
HELVETICA,0.00047771525,15,0.007122990805168986
TBH,0.0004734685,40,0.018825785288270377
LOMO,0.00046051116,24,0.010986349741550695
JIANBING,0.00045680892,18,0.008173519443339959
NEUTRA HUMBLEBRAG,0.0004533635,7,0.003154616799204771
CARDIGAN,0.0004454493,32,0.01416936143141153
TOTE BAG,0.00043152284,161,0.06906081236580518
CHARCOAL MIXTAPE BIODIESEL,0.0004254262,10,0.004228888667992047
MESSENGER BAG,0.00042448606,236,0.09958122282306163
FAM YUCCIE,0.00042258267,8,0.0033604983697813123
IRONY,0.00042121758,245,0.10258281023856858
GASTROPUB HASHTAG WAYFARERS TOTE BAG,0.00042077116,10,0.004182615904572565
VENMO,0.00041796456,23,0.009555849781312126
MESSENGER BAG LETTERPRESS TOTE BAG,0.00040297973,10,0.004005762723658051
FORAGE MESSENGER BAG,0.00040286803,10,0.004004652385685885
BANJO POUTINE TOTE BAG,0.0004022698,10,0.003998705765407555
PRISM TOTE BAG,0.00039992205,8,0.0031802946322067593
SEMIOTICS MESSENGER BAG,0.00039963823,8,0.0031780376143141155
ROOF PARTY TOFU MESSENGER BAG,0.0003995234,8,0.003177124453280318
ROOF PARTY,0.00039914163,204,0.08093925697813122
QUINOA UMAMI TOTE BAG,0.0003985002,8,0.003168987673956262
TILDE MESSENGER BAG,0.00039846564,8,0.0031687128429423463
SELFIES,0.00039831316,139,0.055035317335984095
JUICE MESSENGER BAG,0.0003983074,8,0.003167454473161034
CORNHOLE MEGGINGS TOTE BAG,0.00039829628,8,0.0031673660437375743
JIANBING MESSENGER BAG,0.00039823013,8,0.0031668399999999998
CORNHOLE,0.00039203017,169,0.06585795102385686
VHS GOCHUJANG ART PARTY,0.00039174026,10,0.0038940383697813117
COFFEE ROOF PARTY,0.00039146427,10,0.0038912949304174952
LEVEL,0.0003912754,188,0.07312104890656064
MAN,0.00039047402,487,0.1890266876143141
COFFEE VICE,0.0003896565,8,0.0030986600397614316
HASHTAG ROOF PARTY,0.00038799408,10,0.0038568
SEMIOTICS ROOF PARTY,0.00038797213,10,0.003856581809145129
MUMBLECORE ROOF PARTY,0.00038675944,8,0.0030756217892644135
INTELLIGENTSIA ART PARTY,0.00038586053,8,0.003068473399602386
IRONY ROOF PARTY,0.00038580428,8,0.0030680260834990056
VHS ENAMEL PIN PUG FANNY PACK ART PARTY,0.000385599,8,0.003066393638170974
STREET ART,0.0003855251,171,0.06553160248508946
CARDIGAN MEDITATION ART PARTY,0.00038504283,8,0.0030619708151093435
HEIRLOOM CRAFT BEER FORAGE ROOF PARTY,0.0003846311,6,0.002294022465208748
NARWHAL STREET ART,0.00038386113,10,0.0038157169980119286
TAXIDERMY CHICHARRONES,0.0003831036,10,0.003808186878727635
JUICE STREET ART,0.00038293021,9,0.0034258169880715707
FOOD TRUCK POUTINE STREET ART,0.00038289357,9,0.0034254891948310136
COPPER MUG COLORING BOOK,0.00038112467,8,0.0030308124850894633
MEDITATION STREET ART,0.00038092973,8,0.0030292622664015905
SYNTH STREET ART,0.000380822,8,0.0030284055666003977
FOOD TRUCK STREET ART,0.00038034908,8,0.0030246447713717694
SKATEBOARD CHICHARRONES,0.00037984666,8,0.0030206493836978134
HOT CHICKEN,0.0003796877,137,0.05170697306163022
MEH CHICHARRONES,0.00037786638,10,0.0037561270377733593
HEXAGON LO-FI CHICHARRONES,0.00037683692,8,0.0029967150695825047
MAN BRAID VAPORWARE CHICHARRONES,0.000376603,8,0.0029948548707753476
FOOD TRUCK,0.00037645208,261,0.09766798497017894
PHOTO BOOTH,0.00037641005,221,0.08269047818091453
SHABBY CHIC,0.00037520315,162,0.06042038797216699
LETTERPRESS CHICHARRONES,0.00037493263,8,0.002981571610337972
DOLLAR TOAST CHICHARRONES,0.00037417436,8,0.0029755416302186875
GASTROPUB NARWHAL TRUST FUND HEXAGON CHARTREUSE,0.00037293148,10,0.0037070723658051688
CHARCOAL MIGAS,0.00037281238,10,0.0037058884691848902
FORAGE,0.0003709591,171,0.06305567206759444
CHARCOAL,0.0003706942,189,0.06964334373757455
MICRODOSING FASHION AXE CHARTREUSE,0.0003673474,10,0.0036515646123260435
COFFEE KOGI,0.0003655775,9,0.003270574055666004
CHIA CHARTREUSE,0.00036408237,10,0.0036191090457256456
TAXIDERMY HEALTH GOTH VAPORWARE VINYL TAIYAKI CHARTREUSE,0.0003635005,10,0.0036133250497017897
CHARTREUSE,0.00036275643,133,0.04795885207753479
KOGI CHARTREUSE,0.00036183605,8,0.002877423856858847
LETTERPRESS NARWHAL MUMBLECORE,0.00035854738,10,0.003564089264413519
MAN BUN,0.00035467785,249,0.08778805631212723
MAN BUN FOOD TRUCK,0.0003525736,10,0.003504707753479125
SUBWAY TILE FOOD TRUCK,0.00035165722,10,0.0034955986083499003
COFFEE WAYFARERS,0.00035163277,10,0.003495355566600398
CHARTREUSE KALE CHIPS FOOD TRUCK,0.00035074874,8,0.002789254393638171
HELVETICA MICRODOSING CARDIGAN JEAN SHORTS,0.00035074097,10,0.003486490755467197
VINYL FOOD TRUCK,0.00035020884,8,0.002784960954274354
TRADE FOOD TRUCK,0.00034950007,8,0.0027793246123260433
BULB FOOD TRUCK,0.0003493305,8,0.002777976143141153
ENNUI JEAN SHORTS,0.0003490296,10,0.0034694791252485088
LOMO FOOD TRUCK,0.0003488795,6,0.002080792246520875
COFFEE MAN BUN,0.0003483084,10,0.00346231013916501
MASTER CLEANSE CHICHARRONES JEAN SHORTS,0.00034797317,10,0.003458977833001988
GREEN JUICE,0.00034767872,154,0.05322318377733599
HELL,0.00034763437,343,0.11852742436381712
LO-FI VICE,0.00034658433,10,0.0034451722664015907
ENNUI NARWHAL RACLETTE SHOREDITCH,0.0003463408,10,0.003442751491053678
JIANBING CRAFT BEER,0.00034492943,10,0.0034287219681908548
MEDITATION,0.00034485775,201,0.0689029898111332
FOOD TRUCK PINTEREST JEAN SHORTS,0.00034456432,8,0.0027400741153081514
WOLF,0.00034392736,251,0.08581090194831013
HEIRLOOM MAN BRAID DIRECT TRADE,0.0003438565,10,0.003418056660039761
CHIA HEIRLOOM,0.00034370887,8,0.002733271332007952
ROOF PARTY SRIRACHA,0.00034364086,8,0.0027327304970178926
TAXIDERMY LYFT IRONY,0.00034317645,10,0.0034112967196819085
VICE,0.0003431547,16,0.005457728827037774
DIY MESSENGER BAG MAN BUN,0.00034315433,8,0.002728861471172962
ENNUI ENAMEL PIN KEFFIYEH MLKSHK FOOD TRUCK BIODIESEL WOLF,0.00034279388,10,0.0034074938369781315
SHORTS,0.00034251256,196,0.06673206934393638
WOLF MOON POUTINE JEAN SHORTS,0.00034197737,8,0.0027195019483101392
MUSTACHE CHAMBRAY,0.00034182842,8,0.00271831745526839
CRAFT BEER,0.00034161136,28,0.009508069662027835
WHATEVER,0.00034133188,219,0.07430584664015905
BIODIESEL,0.0003410695,210,0.07119741053677933
VEXILLOLOGIST WOLF,0.0003405533,10,0.0033852216699801195
LA CROIX CLICHE VICE,0.00034005847,10,0.003380302882703777
PHOTO BOOTH VAPORWARE IRONY,0.0003398803,10,0.0033785318091451295
PUG UNICORN DIY HELL,0.00033959065,10,0.0033756525844930423
SKATEBOARD PORK BELLY HOODIE BIODIESEL,0.00033923652,10,0.0033721324055666006
OFFAL BIODIESEL,0.0003386936,10,0.003366735586481113
