115.63,86.48,1.01
GREGOR SAMSA,0.48285693,4,30.65758285714286
RIGHT,0.03036042,10,4.819114285714286
HUMAN ROOM,0.024558214,4,1.5592516825396825
HEAD,0.018255897,11,3.1875375714285714
LEGS,0.01576333,12,3.0025390476190474
PEOPLE,0.0136138685,3,0.6482794523809523
DREAMS,0.0128640095,4,0.8167625079365081
EYES,0.011899628,4,0.7555319365079366
REST,0.011680953,3,0.5562358571428572
BUSINESS,0.011262334,9,1.608904857142857
ARM,0.01113337,6,1.0603209523809523
DROPS,0.011105253,3,0.5288215714285714
BED,0.010709842,7,1.1899824444444447
WEATHER,0.008186115,4,0.5197533333333333
STATE,0.008167295,4,0.5185584126984126
TOP,0.0068136035,7,0.7570670555555555
BROWN BELLY,0.006617604,4,0.42016533333333334
FOOD,0.0063380483,3,0.3018118238095238
BACK,0.0061343387,18,1.7526682
VERMIN,0.006132554,5,0.4867106349206349
FUR MUFF,0.0058013466,5,0.4604243333333333
ITCH,0.005628527,11,0.9827586825396826
LADY,0.0054459255,5,0.4322163095238095
SECTIONS,0.0051034824,4,0.3240306285714285
ARCHES,0.0051034824,4,0.3240306285714285
SIZE,0.0050589335,4,0.321202126984127
WALLS,0.00502325,4,0.3189365079365079
BELLY,0.0041313707,7,0.4590411888888889
DREAM,0.003685905,8,0.4680514285714286
BEDDING,0.0034660823,5,0.2750858968253968
WORRIES,0.003441225,4,0.21849047619047618
LOTS,0.0034363822,4,0.21818299682539682
CAREER,0.003360495,4,0.2133647619047619
PANE,0.0029216276,5,0.23187520634920636
MAGAZINE,0.0028671199,5,0.22754919841269838
FRAME,0.0028671199,5,0.22754919841269838
TEXTILE SAMPLES,0.0028671199,5,0.22754919841269838
COLLECTION,0.0028671199,5,0.22754919841269838
FUR BOA,0.0028628455,5,0.2272099603174603
FUR HAT,0.0028628455,5,0.2272099603174603
WHOLE,0.0026345963,3,0.12545696666666667
PICTURE,0.0023410816,5,0.18580012698412696
SPOTS,0.0018621905,5,0.14779289682539684
GOD,0.0015430899,3,0.07348047142857142
EFFORT,0.0012619416,5,0.10015409523809524
TIMES,0.0012578549,5,0.09982975396825397
SOMETHING,0.0011598747,5,0.0920535476190476
VIEWER,0.0010925994,5,0.0867142380952381
WINDOW,0.0010911406,5,0.08659846031746032
RAIN,0.0010898226,8,0.13839017142857143
NONSENSE,0.0010886209,5,0.08639848412698413
POSITION,0.0010886209,5,0.08639848412698413
BIT,0.0010886209,5,0.08639848412698413
PAIN,0.001086495,5,0.0862297619047619
CURSE,0.0010838234,5,0.08601773015873015
HOME,0.0010838234,5,0.08601773015873015
HEADBOARD,0.0009881523,5,0.07842478571428571
TRAIN CONNECTIONS,0.0009427108,5,0.07481831746031746
ONE,0.0007862575,10,0.12480277777777779
ANYONE,0.00073151063,5,0.0580563992063492
CONTACT,0.00073151063,5,0.0580563992063492
SHUDDER,0.0007304794,5,0.057974555555555564
PLACE,0.0007304794,5,0.057974555555555564
