87.43,114.38,6.61
DREAMS,0.29506585,1,22.69737307692308
GREGOR SAMSA,0.17890045,1,13.761573076923076
BED,0.11673906,2,17.959855384615384
VERMIN,0.11673906,1,8.979927692307692
BEDDING,0.04129728,1,3.176713846153846
BROWN BELLY,0.03947048,1,3.0361907692307697
BACK,0.038007375,1,2.9236442307692307
HEAD,0.038007375,1,2.9236442307692307
ARCHES,0.038007375,1,2.9236442307692307
SECTIONS,0.034799464,1,2.6768818461538464
SIZE,0.025810061,1,1.9853893076923075
REST,0.025810061,1,1.9853893076923075
LEGS,0.011346131,1,0.8727793076923078
