91.28,109.55,0.18
MANUFACTURER,0.26785606,410,103.02156153846154
ACTIVITIES,0.04869985,195,8.908509146341464
SOFTWARE SYSTEM,0.04441192,127,5.291101163227017
PROCESSES,0.034211937,187,6.00153116228893
SOFTWARE ITEMS,0.024879364,78,1.820441268292683
ISO 14971,0.020391755,102,1.9511810600375235
MEDICAL DEVICE,0.015439062,200,2.8966345215759848
SOFTWARE ITEM,0.012504473,143,1.6774293048780489
SOFTWARE,0.012023432,1040,11.73017756097561
POPE,0.008889589,176,1.4676994971857409
RISK ANALYSIS PROCESS,0.0070027024,0,0.0
ACTIVITY,0.006495913,170,1.035933592870544
LICENSE,0.006309205,353,2.0892583161350844
MEDICAL DEVICE SOFTWARE,0.0059263054,95,0.5281416632270169
C,0.005770285,5593,30.27505066135084
MEDICAL DEVICE SOFTWARE PRODUCT,0.005621933,15,0.07910787523452158
B,0.00538759,695,3.5125469512195124
VERIFICATION,0.004414565,169,0.6998700609756097
SOFTWARE SAFETY CLASS A,0.004265673,4,0.016006277673545965
TASKS,0.0040506646,86,0.3267890765478424
SITUATION,0.00401713,87,0.3278520731707317
SOUP,0.0035275533,80,0.2647319549718574
SOFTWARE UNITS,0.00327197,35,0.10742865853658536
DEVICE,0.0032524294,355,1.0831261135084427
MEDICAL DEVICE SYSTEM ARCHITECTURE,0.0031565682,0,0.0
RISK,0.002935502,628,1.729357651031895
NOTE 2,0.0028734563,36,0.09703980000000001
COPYRIGHT,0.0027612434,199,0.5154666384615384
SYSTEM,0.0027259118,397,1.0151847885553473
HAZARDOUS SITUATION,0.0026614757,43,0.10735783780487805
RISK MANAGEMENT PROCESS,0.00263043,40,0.09870281425891182
DEVELOPMENT,0.0025108806,368,0.8667955542213883
CLASS A,0.0022993656,106,0.22864235797373356
RISK CONTROL,0.00184367,141,0.24386254221388365
VERSION,0.0017408535,52,0.08491968292682926
RISKS,0.0015973444,45,0.06743011069418386
TASK,0.0015516406,116,0.1688464442776735
IEC 2015,0.00147642,168,0.23268157598499062
LEGACY SOFTWARE,0.0014508207,58,0.07893771163227017
2006 +AMD1,0.0013941617,83,0.10855105168855535
HARM,0.0012722276,49,0.058479505065666036
CONFIGURATION ITEM,0.001231374,35,0.04042972795497186
CLAUSE 9,0.0012112985,14,0.01590823545966229
REQUESTS,0.001201936,32,0.03608063039399625
RISK MANAGEMENT ACTIVITIES,0.0011699566,12,0.013170243151969982
RISK MANAGEMENT,0.0011607955,156,0.16987251219512195
IHS,0.0011285237,352,0.37264572457786116
HAZARD,0.0011210723,146,0.153542735272045
CONSIDERATION,0.0010155243,12,0.01143179324577861
MAINTENANCE,0.0009959168,151,0.14107264240150091
NOTE REQUIREMENTS,0.00092751323,0,0.0
PUBLICATIONS,0.00090032775,23,0.019425458020637897
MEDICAL DEVICE SOFTWARE SOFTWARE SYSTEM,0.0008722784,0,0.0
ISO/IEC,0.00082930265,131,0.10191242696998125
CLASS B,0.00081105815,77,0.058584875750469036
PROBLEM,0.00078320695,222,0.1631068882739212
ANOMALIES,0.00075090124,38,0.026767586416510322
SOFTWARE UNIT,0.0007174522,108,0.07268746491557224
SOFTWARE LIFE CYCLE PROCESSES,0.00067874324,7,0.004457038161350844
DEVELOPMENT PROCESS,0.0006659642,46,0.02873766716697936
CONTENT,0.0006466729,48,0.02911847954971858
CHANGE REQUESTS,0.0005833187,20,0.010944065666041277
ISO/IEC 12207,0.00057154585,62,0.033241878705440896
CHANGE REQUEST,0.00057135895,39,0.020903376219512194
COMPLIANCE,0.0005630194,55,0.02904884333958724
CONFIGURATION ITEMS,0.00055841345,20,0.010476800187617262
DEVICES,0.0005576771,28,0.014648178986866791
SOFTWARE RISK MANAGEMENT,0.00054718845,22,0.011292819793621015
PROBLEM REPORT,0.00054682966,39,0.02000596317073171
SOFTWARE CONFIGURATION MANAGEMENT,0.00054639444,21,0.010763867954971858
SOFTWARE SAFETY CLASSIFICATION,0.00054205867,45,0.022882401641651035
SAFETY,0.0005275481,76,0.037611309193245776
PROBABILITY,0.0005203904,59,0.028802095309568482
NOTE 1,0.00051190855,32,0.015366860787992495
EXAMPLES,0.0005112397,27,0.012948847936210131
DOCUMENTATION,0.00050559,102,0.04837727954971857
RISK MANAGEMENT FILE,0.00050507113,21,0.009949806500938086
HAZARDS,0.0004986586,27,0.012630189681050655
ISO,0.0004983951,321,0.15007957514071296
DESIGN,0.0004936284,281,0.13012155759849905
HAZARDOUS,0.0004928285,76,0.03513599061913696
IEC NATIONAL COMMITTEES,0.0004925921,4,0.0018483756097560976
