75.83,131.87,0.04
POLARIS SPECTRA API REVISION G.001.004,0.06767328,3,0.20363073219658975
INIT,0.046016883,72,3.3231851313941827
REVISION,0.016672699,244,4.080379695085256
INTEGER,0.010587173,8,0.08495224072216649
DEVICE,0.009708622,348,3.388766756268806
POLARIS,0.007793285,342,2.6733234403209627
APPLICATION PROGRAM INTERFACE GUIDE,0.0077400417,196,1.5216130122367102
SYSTEM,0.005909828,621,3.6810463269809426
DEVICES,0.0057732235,58,0.3358545265797392
FIRMWARE REVISION,0.0048409454,72,0.3495968593781344
APPLICATION,0.0042344863,66,0.2803170469408225
BIT,0.004173701,349,1.461004662988967
USER PARAMETERS,0.0037891387,213,0.8095150883650952
MODE,0.0034129417,101,0.3457443447342026
TOOLS,0.0032296672,87,0.2818265259779338
PART NUMBER,0.00321152,5,0.01610591775325978
CHANGES,0.0031069317,24,0.074790732998997
COMMANDS,0.0030134763,97,0.2931867613841524
INFORMATION,0.0029537699,179,0.5303157593781345
COMPANY NAMES,0.00287305,1,0.0028816950852557674
POLARIS SPECTRA SYSTEM SCU,0.002654186,1,0.002662172517552658
G.001.002,0.0025370002,19,0.04834804794383149
USER GUIDE,0.0025272607,23,0.05830190180541625
STATUS.NEW ALERTS,0.002485884,18,0.04488055366098295
STATUS LED,0.00244826,60,0.14733761283851554
WARNING05,0.0024000774,7,0.016851095085255768
XXXX 140,0.0023751105,0,0.0
DATA,0.0023734753,239,0.5689674991975927
POSITION SENSOR SERIAL NUMBER,0.0022144744,2,0.004442275626880642
GETINFO,0.0021783721,43,0.09395185586760281
GET,0.0020340674,136,0.27746556308926784
PAGE,0.002033644,438,0.8934163209628886
DEVICE.INSTANCE.,0.0020041645,11,0.02211214593781344
COMMAND,0.0019642995,312,0.6147055606820462
PARAMETER,0.0019414247,380,0.7399612698094282
G.001.003,0.0019281331,44,0.08509313580742228
API REVISION,0.0018349316,71,0.1306721600802407
REPLY OPTION,0.0018078616,119,0.21578287903711132
OPTION,0.0018078376,193,0.34996254443329994
PARAGRAPH,0.0016985983,2,0.0034074188565697094
STB-0,0.0016873981,6,0.010154853159478434
LINES,0.0016650318,34,0.056781425476429295
VALUE,0.0016128503,201,0.3251583854563691
VERSIONS,0.0016065856,18,0.029005557472417252
PORT STATUS,0.0015988472,19,0.030469505315947845
SYNTAX BX,0.0015857712,0,0.0
SYSTEM STATUS,0.0015852684,51,0.08109196429287864
GPIO,0.0015670124,134,0.21061149608826477
USER PARAMETER,0.0015385223,281,0.43362564322968905
USER PARAMETER VALUES,0.0015144367,28,0.04253182306920763
PRODUCT NAMES,0.0015110305,1,0.0015155772316950851
G.001.004,0.0015026414,33,0.04973637532597793
API COMMANDS,0.0014959903,3,0.004501475325977934
SYSTEM CONTROL UNIT,0.0014653547,27,0.039683627783350044
INPUT,0.0014545155,40,0.05835568706118355
PORT HANDLES,0.001443361,54,0.07817602206619859
FIRMWARE REVISIONS,0.0014290012,23,0.032965925376128385
SROM,0.001387763,101,0.14058582046138415
STATUS,0.0013778476,168,0.23217492156469408
STATE,0.0013772754,20,0.027628393179538618
G.001.005,0.0013652506,12,0.016432304112337013
MARKERS,0.0013586086,115,0.15671011935807422
POSITION SENSOR,0.0013180932,199,0.2630898162487463
ALERTS USER PARAMETERS,0.0013143299,21,0.027683979839518556
TRANSFORMATIONS,0.0012609098,36,0.0455293408224674
CONFIGURATION,0.0012587041,52,0.06564956188565697
ALPHABETICAL LIST,0.0012548674,3,0.0037759299899699094
FEATURES,0.0012498369,34,0.042622321564694074
TX,0.0011671309,74,0.08662756930792379
POLARIS SPECTRA SYSTEM,0.0011624846,58,0.06762698776328988
MARKER,0.0011603404,291,0.3386750816449348
SETTINGS USER PARAMETERS,0.0011368305,4,0.004561005015045136
COMPATIBILITY,0.0011314037,12,0.013617697492477432
REPLY OPTIONS,0.0011307251,23,0.026084932096288864
CR,0.0010915173,355,0.38865460531594787
XXXX,0.0010908953,53,0.057991425175526586
ERROR LED,0.0010824848,47,0.05102987522567702
AMBER,0.0010809711,14,0.015179132798395186
RECEIVING SYSTEM REPLIES,0.0010406255,3,0.0031312703109327984
0X0800,0.0010336958,4,0.004147224874623871
2D77,0.0010197635,2,0.002045663991975928
31E6,0.0010197267,2,0.0020455901705115345
LIST,0.0010134849,31,0.03151256960882647
ADDITIONS,0.0010114156,7,0.007101212838515548
PHRQ,0.0009892066,22,0.021828029287863593
ALERT,0.0009859127,60,0.05933276028084253
FEATURE,0.0009778466,69,0.06767443871614845
VGET,0.0009718104,22,0.021444161283851557
SETS,0.0009627348,81,0.07821616730190571
BX SYSTEM STATUS,0.00094866595,52,0.0494790665997994
INFO.STATUS.ALERTS OVERFLOW,0.00094086805,4,0.003774796589769308
API REVISION NUMBER,0.0009283481,5,0.004655707622868605
PORT HANDLE,0.0009265605,189,0.17564687512537613
PHINF,0.00092628493,19,0.01765237078234704
INPUT/OUTPUT LINES,0.0009151997,10,0.009179535606820461
VALUES,0.0009057219,118,0.10719677452357071
FRAME,0.00089887995,50,0.04507923520561685
TIMEOUT VALUES,0.0008934007,8,0.007168711735205617
NUMBER,0.0008931371,143,0.1281029140421264
STROBER,0.00089190155,101,0.09035311589769307
INFORMATION USER PARAMETERS,0.0008904366,6,0.005358695687061184
WARNING CODE DEFINITIONS,0.0008896908,12,0.0107084148445336
LOG FILE,0.00088399125,22,0.019506326479438316
GETLOG,0.00086878677,18,0.015685217512537614
OPERATION,0.0008541779,6,0.005140488866599799
IL-1070101,0.0008423463,1,0.0008448809428284854
SENSEL,0.00082848157,9,0.007478770441323972
SYSLOG,0.00081194006,17,0.013844514563691075
HTTP://SUPPORT.NDIGITAL.COM,0.0008103671,2,0.001625611033099298
PINIT,0.0008084221,32,0.025947349247743227
TCTST TSTART,0.00078732293,0,0.0
PARAM.USER.STRING0,0.0007799659,3,0.00234693851554664
TYPE,0.0007643034,47,0.036030350852557666
CRC16,0.00074986933,147,0.11056247894684051
PPRD,0.00074132474,15,0.01115333109327984
USER SECTION,0.00072395365,8,0.005809056369107321
SOME,0.0007206307,13,0.009396388264794385
CHAPTER,0.0007205247,8,0.00578154222668004
HARDWARE DEVICE,0.0007077381,56,0.03975259137412237
PURPOSE INPUT/OUTPUT,0.0007072421,9,0.006384331895687061
COMMUNICATION OVERVIEW,0.00069756835,4,0.002798669408224674
RETURNS,0.00069343153,45,0.03129831379137412
SYNTAX APIREV,0.0006890474,0,0.0
SENSOR. 4,0.0006774342,0,0.0
BACKGROUND FRAME,0.000676301,6,0.004070016048144434
RECOVERY METHOD,0.0006637085,1,0.0006657056168505517
RANGE,0.0006539417,38,0.024924558274824475
MEASUREMENT VOLUME,0.0006483208,33,0.021458963289869612
PARAMETERS,0.0006456806,193,0.12499132978936812
SAVES,0.00063948834,4,0.0025656503109327982
EVENTS,0.000629974,15,0.009478044132397192
SETUP SETUP MODE,0.0006247472,0,0.0
ALERT VALUES,0.00062437,3,0.0018787462387161483
GPIO DEVICE,0.0006081371,82,0.050017294082246734
ERROR CODE,0.00060030486,65,0.03913722758274824
SYNTAX COMMANDS,0.000591695,0,0.0
API,0.00056164403,116,0.06534674772316951
TOOL,0.00055602327,421,0.23479016717151455
HARDWARE DEVICES,0.0005543354,18,0.010008061384152457
