74.38,134.44,0.01
INFORMATION,0.025727583,56,2.219945528505393
TRAIN CONTROL SYSTEM,0.0133471405,1,0.020565701848998457
DATA,0.012722776,10,0.19603661016949153
SYSTEM,0.0074842754,43,0.49587649029275804
DEVICE,0.0073486096,8,0.09058378551617874
GROUP,0.006404962,3,0.02960691217257319
PRODUCTS,0.006264741,2,0.019305827426810477
FEDERAL RISK,0.006187898,1,0.00953451155624037
INFRASTRUCTURE,0.0061803716,12,0.11427497565485363
CYBER SECURITY LANGUAGE,0.005706271,2,0.017584810477657933
TRAIN SYSTEM,0.0051019574,1,0.007861259476117103
SYSTEMS,0.0050229263,14,0.10835280154083204
ACTIVITIES,0.004445765,8,0.054801417565485365
INTENT,0.0042723217,2,0.013165860400616333
DATA COMMUNICATIONS,0.00424207,1,0.006536317411402157
RISK,0.0042246985,21,0.1367005677966102
INTEGRITY,0.004173939,5,0.03215669491525424
TRAIN CONTROL,0.004113217,3,0.019013329738058554
TRANSIT,0.0039672563,7,0.04279012958397536
TRANSMISSION,0.003963532,3,0.018321411402157168
TRAIN OPERATOR,0.0038004597,1,0.005855870107858244
OPERATORS,0.0037490504,3,0.01732997103235747
PROCESS,0.0037467878,18,0.10391707303543914
ACTION,0.003742566,7,0.0403666594761171
TERM,0.0036043087,10,0.055536343605546996
PAYMENT CARD INDUSTRY DATA SECURITY STANDARD,0.0035493583,1,0.005468965023112481
ORGANIZATION,0.0035292474,17,0.09244561756548535
CRIMINAL JUSTICE INFORMATION,0.0034054238,2,0.010494372265023113
ORGANIZATIONS,0.003344663,9,0.04638207550077041
ABILITY,0.0032944276,15,0.07614239445300464
INCIDENT,0.0032762226,12,0.06057730539291217
PROGRAMMABLE LOGIC CONTROLLER,0.0032167463,1,0.004956465793528505
CONFIGURATION MANAGEMENT,0.0031915077,1,0.004917577349768875
FUNCTIONS,0.00318127,4,0.019607211093990756
CONTROLS,0.0031325985,5,0.024134040832049307
TRAIN,0.0031258494,8,0.03853127149460709
OCCURRENCE,0.0030851385,15,0.07130520416024654
COMPONENTS,0.003072687,1,0.004734494607087828
SECURITY POLICY,0.0030006296,3,0.01387039876733436
POLICY,0.0029991944,6,0.02772752912172573
TRANSIT AGENCY,0.0029389302,1,0.004528397842835131
SMARTCARDS,0.0029123917,1,0.004487506471494607
AVIATION FLIGHT RECORDER,0.002892483,1,0.004456830508474576
